time_s,pga_gal,mmi,category,vibration_detected
179.06,5.85,IV,Light,1
179.17,2.7,III,Weak,0
179.28,25.27,VI,Strong,1
179.38,16.18,V,Moderate,1
179.49,26.48,VI,Strong,1
179.6,4.15,III,Weak,0
179.71,1.2,II,Very Weak,0
179.82,3.88,III,Weak,0
179.94,3.35,III,Weak,0
180.05,1.45,II,Very Weak,0
180.16,0.07,I,Instrumental,0
180.28,5.88,IV,Light,1
180.39,21.14,V,Moderate,1
180.5,11.59,V,Moderate,1
180.61,16.69,V,Moderate,1
180.72,5.98,IV,Light,1
180.83,3.86,III,Weak,0
180.94,1.64,II,Very Weak,0
181.05,0.61,I,Instrumental,0
181.16,2.13,III,Weak,0
181.27,0.28,I,Instrumental,0
182.93,1.83,II,Very Weak,0
184.97,16.32,V,Moderate,1
185.08,18.4,V,Moderate,1
185.19,48.35,VI,Strong,1
185.31,18.05,V,Moderate,1
185.42,1.37,II,Very Weak,0
185.56,26.72,VI,Strong,1
185.67,10.07,V,Moderate,1
185.78,1.29,II,Very Weak,0
185.9,1.33,II,Very Weak,0
186.01,2.39,III,Weak,0
186.12,31.64,VI,Strong,1
186.24,11.97,V,Moderate,1
186.35,131.08,VIII,Severe,1
186.47,2.27,III,Weak,0
186.58,2.86,III,Weak,0
186.7,48.5,VI,Strong,1
186.81,19.13,V,Moderate,1
186.92,1.27,II,Very Weak,0
187.05,8.09,IV,Light,1
187.16,8.85,IV,Light,1
187.27,16.74,V,Moderate,1
187.38,1.4,II,Very Weak,0
187.49,78.53,VII,Very Strong,1
187.6,17.36,V,Moderate,1
187.71,1.52,II,Very Weak,0
187.83,19.56,V,Moderate,1
187.94,2.78,III,Weak,0
188.05,5.04,IV,Light,1
188.16,7.18,IV,Light,1
188.27,16.34,V,Moderate,1
188.38,15.31,V,Moderate,1
188.49,16.36,V,Moderate,1
188.6,6.45,IV,Light,1
188.71,8.59,IV,Light,1
188.83,16.09,V,Moderate,1
188.94,16.57,V,Moderate,1
189.05,3.52,III,Weak,0
189.16,11.78,V,Moderate,1
189.28,9.08,IV,Light,1
189.39,20.23,V,Moderate,1
189.51,11.66,V,Moderate,1
189.62,9.01,IV,Light,1
189.73,16.65,V,Moderate,1
189.85,13.03,V,Moderate,1
189.96,23.61,V,Moderate,1
190.07,11.33,V,Moderate,1
190.18,28.65,VI,Strong,1
190.3,24.32,V,Moderate,1
190.41,20.08,V,Moderate,1
190.52,7.69,IV,Light,1
190.64,2.28,III,Weak,0
190.76,4.38,III,Weak,0
190.87,20.02,V,Moderate,1
190.98,10.88,V,Moderate,1
191.09,33.77,VI,Strong,1
191.21,21.66,V,Moderate,1
191.32,36.6,VI,Strong,1
191.44,12.12,V,Moderate,1
191.56,21.94,V,Moderate,1
191.67,11.73,V,Moderate,1
191.79,30.08,VI,Strong,1
191.9,6.75,IV,Light,1
192.02,29.29,VI,Strong,1
192.13,76.65,VII,Very Strong,1
192.24,38.69,VI,Strong,1
192.35,7.65,IV,Light,1
192.46,42.65,VI,Strong,1
192.58,8.32,IV,Light,1
192.69,1.19,II,Very Weak,0
192.8,20.81,V,Moderate,1
192.92,56.61,VII,Very Strong,1
193.03,9.63,IV,Light,1
193.14,53.4,VII,Very Strong,1
193.25,51.69,VII,Very Strong,1
193.36,15.58,V,Moderate,1
193.47,21.66,V,Moderate,1
193.59,34.96,VI,Strong,1
193.7,9.59,IV,Light,1
193.82,42.47,VI,Strong,1
193.93,13.03,V,Moderate,1
194.05,2.08,III,Weak,0
194.15,7.8,IV,Light,1
194.26,59.55,VII,Very Strong,1
194.38,32.5,VI,Strong,1
194.49,26.17,VI,Strong,1
194.6,32.21,VI,Strong,1
194.71,12.4,V,Moderate,1
194.82,13.01,V,Moderate,1
194.94,79.3,VII,Very Strong,1
195.05,54.82,VII,Very Strong,1
195.16,41.72,VI,Strong,1
195.27,18.09,V,Moderate,1
195.39,31.9,VI,Strong,1
195.5,41.83,VI,Strong,1
195.61,31.29,VI,Strong,1
195.72,53.07,VII,Very Strong,1
195.84,24.77,V,Moderate,1
195.95,21.58,V,Moderate,1
